TRUE,0,0
FALSE,3,0
TRUE,7,0
FALSE,8,0
TRUE,10,0
FALSE,12,0
TRUE,59,0
FALSE,60,0
TRUE,112,0
FALSE,116,0
TRUE,3,2
FALSE,4,2
TRUE,16,2
FALSE,19,2
TRUE,23,2
FALSE,24,2
TRUE,60,2
FALSE,61,2
TRUE,71,2
FALSE,72,2
TRUE,110,2
FALSE,112,2
TRUE,4,4
FALSE,7,4
TRUE,8,4
FALSE,10,4
TRUE,12,4
FALSE,16,4
TRUE,19,4
FALSE,20,4
TRUE,22,4
FALSE,23,4
TRUE,28,4
FALSE,31,4
TRUE,35,4
FALSE,36,4
TRUE,38,4
FALSE,40,4
TRUE,61,4
FALSE,62,4
TRUE,72,4
FALSE,73,4
TRUE,83,4
FALSE,84,4
TRUE,108,4
FALSE,110,4
TRUE,20,5
FALSE,20.9,5
TRUE,21,5
FALSE,22,5
TRUE,24,5
FALSE,28,5
TRUE,31,5
FALSE,32,5
TRUE,44,5
FALSE,47,5
TRUE,51,5
FALSE,52,5
TRUE,62,5
FALSE,63,5
TRUE,98,5
FALSE,100,5
TRUE,73,6
FALSE,74,6
TRUE,84,6
FALSE,85,6
TRUE,32,7
FALSE,35,7
TRUE,36,7
FALSE,38,7
TRUE,40,7
FALSE,44,7
TRUE,47,7
FALSE,48,7
TRUE,50,7
FALSE,51,7
TRUE,56,7
FALSE,59,7
TRUE,63,7
FALSE,64,7
TRUE,74,7
FALSE,75,7
TRUE,102,7
FALSE,104,7
TRUE,106,7
FALSE,108,7
TRUE,85,8
FALSE,86,8
TRUE,48,9
FALSE,48.9,9
TRUE,49,9
FALSE,50,9
TRUE,52,9
FALSE,56,9
TRUE,64,9
FALSE,67.9,9
TRUE,68,9
FALSE,71,9
TRUE,75,9
FALSE,76,9
TRUE,86,9
FALSE,87,9
TRUE,96,9
FALSE,98,9
TRUE,95,10
FALSE,96,10
TRUE,76,11
FALSE,79.9,11
TRUE,80,11
FALSE,83,11
TRUE,87,11
FALSE,88,11
TRUE,94,11
FALSE,95,11
TRUE,100,11
FALSE,102,11
TRUE,88,12
FALSE,94,12
TRUE,104,12
FALSE,106,12
